year;sector;area;value
2018;other;uk;1898400.00
2018;total;london;4091300.00
2018;total;uk;25835500.00
2019;agr_fish;london;4400.00
2019;agr_fish;uk;340900.00
2019;ene_water;london;35400.00
2019;ene_water;uk;549900.00
2019;manu;london;149100.00
2019;manu;uk;2911000.00
2019;const;london;328800.00
2019;const;uk;2335900.00
2019;dist_hot_rest;london;693900.00
2019;dist_hot_rest;uk;5843400.00
2019;tran_com;london;571500.00
2019;tran_com;uk;2961600.00
2019;bank_fin_ins;london;1249400.00
2019;bank_fin_ins;uk;5696300.00
2019;pub_ed_hea;london;1275900.00
2019;pub_ed_hea;uk;9825200.00
2019;other;london;332100.00
2019;other;uk;1908000.00
2019;total;london;4122700.00
2019;total;uk;26234500.00
